game_id,season,season_type,game_date,game_date_time,athlete_id,athlete_display_name,team_id,team_name,team_location,team_short_display_name,minutes,field_goals_made,field_goals_attempted,three_point_field_goals_made,three_point_field_goals_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,rebounds,assists,steals,blocks,turnovers,fouls,plus_minus,points,starter,ejected,did_not_play,active,athlete_jersey,athlete_short_name,athlete_headshot_href,athlete_position_name,athlete_position_abbreviation,team_display_name,team_uid,team_slug,team_logo,team_abbreviation,team_color,team_alternate_color,home_away,team_winner,team_score,opponent_team_id,opponent_team_name,opponent_team_location,opponent_team_display_name,opponent_team_abbreviation,opponent_team_logo,opponent_team_color,opponent_team_alternate_color,opponent_team_score
300710096,2010,2,2010-07-10,2010-07-10T19:30:00Z,125,Tamika Catchings,97,Team Usa,Team USA,Team Usa,6,1,3,1,1,0,0,0,1,1,4,1,0,0,0,+6,3,TRUE,FALSE,FALSE,FALSE,24,T. Catchings,,Forward,F,Team Usa,s:40~l:59~t:97,team-usa,,USA,,,away,TRUE,99,96,Team WNBA,Team WNBA,Team WNBA,ALL,,,,72
300710096,2010,2,2010-07-10,2010-07-10T19:30:00Z,766,Sylvia Fowles,97,Team Usa,Team USA,Team Usa,16,9,11,0,0,5,7,4,4,8,0,0,0,2,2,+18,23,TRUE,FALSE,FALSE,FALSE,34,S. Fowles,https://a.espncdn.com/i/headshots/wnba/players/full/766.png,Center,C,Team Usa,s:40~l:59~t:97,team-usa,,USA,,,away,TRUE,99,96,Team WNBA,Team WNBA,Team WNBA,ALL,,,,72
300710096,2010,2,2010-07-10,2010-07-10T19:30:00Z,91,Sue Bird,97,Team Usa,Team USA,Team Usa,20,1,2,0,1,0,0,0,1,1,5,0,0,1,0,+20,2,TRUE,FALSE,FALSE,FALSE,10,S. Bird,https://a.espncdn.com/i/headshots/wnba/players/full/91.png,Guard,G,Team Usa,s:40~l:59~t:97,team-usa,,USA,,,away,TRUE,99,96,Team WNBA,Team WNBA,Team WNBA,ALL,,,,72
300710096,2010,2,2010-07-10,2010-07-10T19:30:00Z,585,Diana Taurasi,97,Team Usa,Team USA,Team Usa,20,4,7,1,4,0,0,0,1,1,0,1,1,1,1,+20,9,TRUE,FALSE,FALSE,FALSE,3,D. Taurasi,https://a.espncdn.com/i/headshots/wnba/players/full/585.png,Guard,G,Team Usa,s:40~l:59~t:97,team-usa,,USA,,,away,TRUE,99,96,Team WNBA,Team WNBA,Team WNBA,ALL,,,,72
300710096,2010,2,2010-07-10,2010-07-10T19:30:00Z,685,Cappie Pondexter,97,Team Usa,Team USA,Team Usa,19,2,4,1,3,2,2,1,2,3,6,0,1,2,2,+9,7,TRUE,FALSE,FALSE,TRUE,25,C. Pondexter,,Guard,G,Team Usa,s:40~l:59~t:97,team-usa,,USA,,,away,TRUE,99,96,Team WNBA,Team WNBA,Team WNBA,ALL,,,,72
300710096,2010,2,2010-07-10,2010-07-10T19:30:00Z,122,Swin Cash,97,Team Usa,Team USA,Team Usa,20,6,10,1,1,0,0,2,0,2,3,1,0,1,4,+7,13,FALSE,FALSE,FALSE,TRUE,32,S. Cash,,Forward,F,Team Usa,s:40~l:59~t:97,team-usa,,USA,,,away,TRUE,99,96,Team WNBA,Team WNBA,Team WNBA,ALL,,,,72
300710096,2010,2,2010-07-10,2010-07-10T19:30:00Z,689,Candice Dupree,97,Team Usa,Team USA,Team Usa,23,6,8,0,0,1,2,4,4,8,2,0,0,1,1,+12,13,FALSE,FALSE,FALSE,TRUE,24,C. Dupree,https://a.espncdn.com/i/headshots/wnba/players/full/689.png,Forward,F,Team Usa,s:40~l:59~t:97,team-usa,,USA,,,away,TRUE,99,96,Team WNBA,Team WNBA,Team WNBA,ALL,,,,72
300710096,2010,2,2010-07-10,2010-07-10T19:30:00Z,872,Angel McCoughtry,97,Team Usa,Team USA,Team Usa,26,4,8,2,2,1,2,0,1,1,3,3,0,1,1,+19,11,FALSE,FALSE,FALSE,TRUE,35,A. McCoughtry,https://a.espncdn.com/i/headshots/wnba/players/full/872.png,Forward,F,Team Usa,s:40~l:59~t:97,team-usa,,USA,,,away,TRUE,99,96,Team WNBA,Team WNBA,Team WNBA,ALL,,,,72
300710096,2010,2,2010-07-10,2010-07-10T19:30:00Z,956,Maya Moore,97,Team Usa,Team USA,Team Usa,22,6,13,0,3,0,0,3,5,8,5,3,0,4,3,+11,12,FALSE,FALSE,FALSE,TRUE,23,M. Moore,,Forward,F,Team Usa,s:40~l:59~t:97,team-usa,,USA,,,away,TRUE,99,96,Team WNBA,Team WNBA,Team WNBA,ALL,,,,72
300710096,2010,2,2010-07-10,2010-07-10T19:30:00Z,918,Tina Charles,97,Team Usa,Team USA,Team Usa,14,3,7,0,0,0,0,1,4,5,1,1,2,1,2,+11,6,FALSE,FALSE,FALSE,FALSE,31,T. Charles,https://a.espncdn.com/i/headshots/wnba/players/full/918.png,Center,C,Team Usa,s:40~l:59~t:97,team-usa,,USA,,,away,TRUE,99,96,Team WNBA,Team WNBA,Team WNBA,ALL,,,,72
300710096,2010,2,2010-07-10,2010-07-10T19:30:00Z,865,Renee Montgomery,97,Team Usa,Team USA,Team Usa,14,0,2,0,2,0,0,0,1,1,3,1,0,1,2,+2,0,FALSE,FALSE,FALSE,FALSE,21,R. Montgomery,,Guard,G,Team Usa,s:40~l:59~t:97,team-usa,,USA,,,away,TRUE,99,96,Team WNBA,Team WNBA,Team WNBA,ALL,,,,72
300710096,2010,2,2010-07-10,2010-07-10T19:30:00Z,651,Monique Currie,96,Team WNBA,Team WNBA,Team WNBA,14,1,3,0,1,3,4,2,1,3,0,0,0,2,0,-9,5,TRUE,FALSE,FALSE,FALSE,25,M. Currie,,Forward,F,Team WNBA,s:40~l:59~t:96,team-wnba,,ALL,,,home,FALSE,72,97,Team Usa,Team USA,Team Usa,USA,,,,99
300710096,2010,2,2010-07-10,2010-07-10T19:30:00Z,805,Crystal Langhorne,96,Team WNBA,Team WNBA,Team WNBA,21,1,4,0,0,0,0,0,2,2,0,0,0,2,4,-23,2,TRUE,FALSE,FALSE,TRUE,1,C. Langhorne,,Forward,F,Team WNBA,s:40~l:59~t:96,team-wnba,,ALL,,,home,FALSE,72,97,Team Usa,Team USA,Team Usa,USA,,,,99
300710096,2010,2,2010-07-10,2010-07-10T19:30:00Z,372,Michelle Snow,96,Team WNBA,Team WNBA,Team WNBA,14,3,5,0,0,2,2,1,0,1,0,0,0,0,2,-13,8,TRUE,FALSE,FALSE,TRUE,22,M. Snow,,Center,C,Team WNBA,s:40~l:59~t:96,team-wnba,,ALL,,,home,FALSE,72,97,Team Usa,Team USA,Team Usa,USA,,,,99
300710096,2010,2,2010-07-10,2010-07-10T19:30:00Z,156,Katie Douglas,96,Team WNBA,Team WNBA,Team WNBA,24,6,15,2,8,1,2,0,2,2,2,3,0,2,0,-5,15,TRUE,FALSE,FALSE,TRUE,23,K. Douglas,,Guard,G,Team WNBA,s:40~l:59~t:96,team-wnba,,ALL,,,home,FALSE,72,97,Team Usa,Team USA,Team Usa,USA,,,,99
300710096,2010,2,2010-07-10,2010-07-10T19:30:00Z,2069374,Lindsey Harding,96,Team WNBA,Team WNBA,Team WNBA,21,1,4,0,2,2,2,5,2,7,4,1,0,4,1,-23,4,TRUE,FALSE,FALSE,TRUE,10,L. Harding,,Guard,G,Team WNBA,s:40~l:59~t:96,team-wnba,,ALL,,,home,FALSE,72,97,Team Usa,Team USA,Team Usa,USA,,,,99
